PV Name,Archive?,Deadband,Alarm Guidance,Related Display,Email/SMS
TGT:BTARG:Gate_Closed_DI,T,0,Value out of normal operating range. Contact target expert on-call.,valves.bob,xwei@jlab.org
TGT:BTARG:Gate_DO,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Gate_Open_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Other_Closed_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Other_DO,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Other_Open_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:OVC_CC_PI,T,0,Value out of normal operating range. Contact target expert on-call.,valves.bob,xwei@jlab.org
TGT:BTARG:OVC_Pirani_PI,T,0,Value out of normal operating range. Contact target expert on-call.,valves.bob,xwei@jlab.org
TGT:BTARG:Reservoir_LI,T,0.2,Value out of normal operating range. Contact target expert on-call.,reservior.bob,xwei@jlab.org
TGT:BTARG:Reservoir-Heater_CC,T,0.001,,reservior.bob,xwei@jlab.org
TGT:BTARG:Reservoir-Heater_CI,T,0.001,Value out of normal operating range. Contact target expert on-call.,reservior.bob,xwei@jlab.org
TGT:BTARG:Reservoir-Heater_Mode,T,0,,reservior.bob,xwei@jlab.org
TGT:BTARG:Reservoir-Heater_VC,T,0.001,,reservior.bob,xwei@jlab.org
TGT:BTARG:Reservoir-Heater_VI,T,0.001,,reservior.bob,xwei@jlab.org
TGT:BTARG:Reservoir-Heater_WI,T,0.001,Value out of normal operating range. Contact target expert on-call.,reservior.bob,xwei@jlab.org
TGT:BTARG:Shield-Heater_CC,T,0.001,,shield.bob,xwei@jlab.org
TGT:BTARG:Shield-Heater_CI,T,0.001,Value out of normal operating range. Contact target expert on-call.,shield.bob,xwei@jlab.org
TGT:BTARG:Shield-Heater_Mode,T,0,,shield.bob,xwei@jlab.org
TGT:BTARG:Shield-Heater_VC,T,0.001,,shield.bob,xwei@jlab.org
TGT:BTARG:Shield-Heater_VI,T,0.001,,shield.bob,xwei@jlab.org
TGT:BTARG:Shield-Heater_WI,T,0.001,Value out of normal operating range. Contact target expert on-call.,shield.bob,xwei@jlab.org
TGT:BTARG:Flag_away,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_home,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_locations,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_MC,T,0.001,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_MI,T,0.1,Value out of normal operating range. Contact target expert on-call.,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_pos_0,T,0.1,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_pos_1,T,0.1,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_pos_2,T,0.1,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_stop,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Flag_zero,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_away,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_home,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_locations,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_MC,T,0.001,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_MI,T,0.1,Value out of normal operating range. Contact target expert on-call.,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_pos_0,T,0.1,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_pos_1,T,0.1,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_stop,T,0.1,,motor.bob,xwei@jlab.org
TGT:BTARG:Shutoff_zero,T,0,,motor.bob,xwei@jlab.org
TGT:BTARG:MAN:ami136_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:ami136_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8017_i1_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8017_i1_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8017_i2_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8017_i2_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8017_v_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8017_v_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8130_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8130_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8148_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:dat8148_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:lakeshore_218_1_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:lakeshore_218_1_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:lakeshore_218_2_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:lakeshore_218_2_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:lakeshore_336_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:lakeshore_336_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:mks937b_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:mks937b_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_1_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_1_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_2_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_2_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_3_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_3_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:pids_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:rigol_dp832_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:rigol_dp832_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:status_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:status_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:thcd_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:thcd_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:zaber_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:zaber_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:mks937b_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_1_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_1_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_2_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_2_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_3_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:omega_3_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:pids_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:rigol_dp832_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:rigol_dp832_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:status_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:status_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:thcd_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:thcd_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:zaber_control,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:zaber_hb,T,0,,ioc_man.bob,xwei@jlab.org
TGT:BTARG:MAN:thcd_time,F,,,,
TGT:BTARG:MAN:lakeshore_218_1_time,F,,,,
TGT:BTARG:MAN:lakeshore_218_2_time,F,,,,
TGT:BTARG:MAN:lakeshore_336_time,F,,,,
TGT:BTARG:MAN:omega_1_time,F,,,,
TGT:BTARG:MAN:omega_2_time,F,,,,
TGT:BTARG:MAN:omega_3_time,F,,,,
TGT:BTARG:MAN:dat8017_i1_time,F,,,,
TGT:BTARG:MAN:dat8017_i2_time,F,,,,
TGT:BTARG:MAN:dat8148_time,F,,,,
TGT:BTARG:MAN:dat8130_time,F,,,,
TGT:BTARG:MAN:mks937b_time,F,,,,
TGT:BTARG:MAN:ami136_time,F,,,,
TGT:BTARG:MAN:rigol_dp832_time,F,,,,
TGT:BTARG:MAN:zaber_time,F,,,,
TGT:BTARG:MAN:all,F,,,,
